Owner,Repo,Average Commit Count
itemis,xtext-issues,null
holzem,xtext-lexertrace,null
victorlacorte,Tcc,null
limelanguage,lime-xtext,null
edgarmueller,xtext-recordmapper,null
santoshdeshpande,wwf-xtext,null
MatzeGIT,XText-maven,null
tkurita,XText.scptd,null
t-buss,mgpl_xtext,null
dvdkruk,xtext-workshop,null
npalix,org.xtext.example.mde,null
logicfish,XActiv,null
kittaakos,webcalc,null
evandor,skysail-prototypr-dsl,null
iensen,certware-l-editor,null
vladimirkozhaev,casualintellect_new_wizard,null
TinyScream,org.xtext.amodel,null
M2TIIL2016-2017,SiteWeb_XText,null
